0] builtin=0 custom=0
op[1] builtin=0 custom=0
op[2] builtin=0 custom=0
op[3] builtin=0 custom=0
op[4] builtin=0 custom=0
op[5] builtin=0 custom=0
op[6] builtin=0 custom=0
Input type: 1
Input bytes: 1536
ADXL345 Initialized
window_samples = 128
ESP-ROM:esp32c6-20220919
0] builtin=0 custom=0
op[1] builtin=0 custom=0
op[2] builtin=0 custom=0
op[3] builtin=0 custom=0
op[4] builtin=0 custom=0
op[5] builtin=0 custom=0
op[6] builtin=0 custom=0
Input type: 1
Input bytes: 1536
ADXL345 Initialized
window_samples = 128
ERR unknown command (type 'help')
OK mode=LOG
M,14438,W,1,START
OK start
S,14439,-9,34,276
S,14449,-7,33,273
S,14459,-7,33,275
S,14469,-8,34,274
S,14479,-8,33,275
S,14489,-9,34,274
S,14499,-7,34,274
S,14509,-8,33,275
S,14519,-8,33,277
S,14529,-8,34,276
S,14539,-7,32,275
S,14549,-8,33,273
S,14559,-9,34,274
S,14569,-8,33,275
S,14579,-9,33,273
S,14589,-8,33,276
S,14599,-8,34,275
S,14609,-8,33,272
S,14619,-9,35,275
S,14629,-8,33,273
S,14639,-8,33,274
S,14649,-8,34,275
S,14659,-9,34,275
S,14669,-8,34,273
S,14679,-8,32,275
S,14689,-9,33,274
S,14699,-7,34,273
S,14709,-8,33,275
S,14719,-7,33,275
S,14729,-9,34,275
S,14739,-9,33,275
S,14749,-9,34,275
S,14759,-8,34,273
S,14769,-8,33,275
S,14779,-7,32,272
S,14789,-7,34,274
S,14799,-8,33,273
S,14809,-8,34,274
S,14819,-8,33,275
S,14829,-10,34,273
S,14839,-8,33,274
S,14849,-8,34,274
S,14859,-9,33,275
S,14869,-8,33,274
S,14879,-8,33,274
S,14889,-8,34,273
S,14899,-8,34,273
S,14909,-8,33,274
S,14919,-7,34,275
S,14929,-8,32,274
S,14939,-9,34,275
S,14949,-8,33,274
S,14959,-7,33,275
S,14969,-8,33,274
S,14979,-9,33,276
S,14989,-9,34,275
S,14999,-9,33,274
S,15009,-7,33,272
S,15019,-9,34,274
S,15029,-8,33,272
S,15039,-7,33,274
S,15049,-7,33,273
S,15059,-7,32,273
S,15069,-9,32,273
S,15079,-7,32,274
S,15089,-9,33,273
S,15099,-8,34,276
S,15109,-7,32,273
S,15119,-8,34,275
S,15129,-7,32,274
S,15139,-8,33,273
S,15149,-8,32,273
S,15159,-8,32,276
S,15169,-9,34,273
S,15179,-7,33,276
S,15189,-8,33,272
S,15199,-8,34,275
S,15209,-8,32,276
S,15219,-8,33,275
S,15229,-8,33,272
S,15239,-7,32,275
S,15249,-7,34,274
S,15259,-8,33,274
S,15269,-9,33,274
S,15279,-7,32,274
S,15289,-9,33,276
S,15299,-8,33,274
S,15309,-7,33,273
S,15319,-8,34,272
S,15329,-8,33,275
S,15339,-7,34,275
S,15349,-7,32,274
S,15359,-9,34,275
S,15369,-8,34,275
S,15379,-7,33,274
S,15389,-8,34,274
S,15399,-8,34,274
S,15409,-7,33,274
S,15419,-8,32,275
S,15429,-7,33,272
S,15439,-8,33,275
S,15449,-7,34,275
S,15459,-7,33,273
S,15469,-9,34,274
S,15479,-9,36,273
S,15489,-8,33,274
S,15499,-8,34,274
S,15509,-8,34,274
S,15519,-7,34,275
S,15529,-9,34,274
S,15539,-8,33,275
S,15549,-9,35,275
S,15559,-8,33,277
S,15569,-8,34,273
S,15579,-7,35,274
S,15589,-7,33,275
S,15599,-7,34,276
S,15609,-8,34,273
S,15619,-9,34,275
S,15629,-8,34,275
S,15639,-8,32,274
S,15649,-7,32,273
S,15659,-7,33,273
S,15669,-9,35,273
S,15679,-8,34,274
S,15689,-9,35,276
S,15699,-9,34,276
S,15709,-9,34,277
S,15719,-8,34,273
S,15729,-8,34,274
S,15739,-8,34,273
S,15749,-7,33,274
S,15759,-9,33,275
S,15769,-9,34,276
S,15779,-9,34,273
S,15789,-7,33,273
S,15799,-8,33,271
S,15809,-6,32,275
S,15819,-7,33,273
S,15829,-8,34,275
S,15839,-8,32,275
S,15849,-7,33,275
S,15859,-8,32,275
S,15869,-8,34,276
S,15879,-9,34,274
S,15889,-8,31,274
S,15899,-8,33,274
S,15909,-9,34,273
S,15919,-9,34,275
S,15929,-7,33,273
S,15939,-8,33,273
S,15949,-8,34,273
S,15959,-7,34,273
S,15969,-7,32,274
S,15979,-8,33,275
S,15989,-9,33,274
S,15999,-8,33,274
S,16009,-8,33,273
S,16019,-6,33,273
S,16029,-8,34,275
S,16039,-7,32,275
S,16049,-9,33,275
S,16059,-9,34,274
S,16069,-8,34,275
S,16083,-7,33,273
S,16089,-8,34,275
S,16099,-8,34,274
S,16109,-8,33,275
S,16119,-8,33,275
S,16129,-8,33,273
S,16139,-9,33,276
S,16149,-7,33,274
S,16159,-9,33,276
S,16169,-8,31,272
S,16179,-9,34,275
S,16189,-8,33,273
S,16199,-9,34,275
S,16209,-7,34,275
S,16219,-8,34,274
S,16229,-8,34,275
S,16239,-8,33,273
M,16239,W,1,END
OK end
ESP-ROM:esp32c6-20220919
0] builtin=0 custom=0
op[1] builtin=0 custom=0
op[2] builtin=0 custom=0
op[3] builtin=0 custom=0
op[4] builtin=0 custom=0
op[5] builtin=0 custom=0
op[6] builtin=0 custom=0
Input type: 1
Input bytes: 1536
ADXL345 Initialized
window_samples = 128
OK mode=LOG
M,68488,W,1,START
OK start
S,68489,0,92,267
S,68499,0,97,267
S,68509,5,94,268
S,68519,3,89,270
S,68529,1,81,272
S,68539,2,84,273
S,68549,3,81,279
S,68559,2,78,282
S,68569,3,83,277
S,68579,6,92,274
S,68589,9,101,267
S,68599,11,106,265
S,68609,12,102,266
S,68619,10,97,267
S,68629,10,95,273
S,68639,14,98,275
S,68649,16,90,272
S,68659,15,96,265
S,68669,10,95,261
S,68679,7,94,259
S,68689,7,89,267
S,68699,6,88,269
S,68709,7,86,266
S,68719,8,89,262
S,68729,10,86,254
S,68739,13,90,254
S,68749,14,87,249
S,68759,13,80,244
S,68769,14,77,235
S,68779,13,67,235
S,68789,13,67,228
S,68799,15,61,221
S,68809,14,58,216
S,68819,19,51,199
S,68829,28,38,194
S,68839,42,38,178
S,68849,48,34,168
S,68859,49,38,167
S,68869,60,50,164
S,68879,69,63,158
S,68889,78,63,141
S,68899,75,50,137
S,68909,70,57,122
S,68919,57,41,101
S,68929,43,37,108
S,68939,58,31,130
S,68949,65,9,187
S,68959,67,3,200
S,68969,69,12,195
S,68979,78,40,191
S,68989,68,67,182
S,68999,55,61,175
S,69009,51,59,180
S,69019,40,56,185
S,69029,18,25,240
S,69039,28,-7,287
S,69049,32,22,296
S,69059,-9,47,279
S,69069,-50,67,259
S,69079,-64,94,247
S,69089,-69,109,258
S,69099,-53,108,270
S,69109,-20,100,292
S,69119,3,59,319
S,69129,-28,103,399
S,69139,-10,107,423
S,69149,-37,115,416
S,69159,-82,150,436
S,69169,-92,194,412
S,69179,-63,180,439
S,69189,-50,183,470
S,69199,-52,191,499
S,69209,-36,181,501
S,69219,-46,209,486
S,69229,-44,202,462
S,69239,-15,192,454
S,69249,-28,182,458
S,69259,-45,191,480
S,69269,-1,191,477
S,69279,6,196,477
S,69289,-5,195,450
S,69299,-21,217,420
S,69309,-27,236,395
S,69319,-9,240,381
S,69329,-4,232,363
S,69339,-25,219,345
S,69349,-20,183,350
S,69359,41,144,361
S,69369,61,147,345
S,69379,29,144,318
S,69389,37,107,299
S,69399,24,106,260
S,69409,-26,91,204
S,69419,-59,70,156
S,69429,-72,62,115
S,69439,-69,38,104
S,69449,-9,-17,140
S,69459,70,-3,147
S,69469,69,-29,121
S,69479,55,-34,94
S,69489,51,-43,94
S,69499,62,-81,100
S,69509,60,-76,92
S,69519,57,-75,81
S,69529,53,-61,54
S,69539,50,-87,58
S,69549,57,-69,58
S,69559,58,-71,49
S,69569,52,-67,52
S,69579,55,-67,54
S,69589,70,-64,57
S,69599,42,-36,48
S,69609,91,-46,58
S,69619,91,-27,74
S,69629,101,-34,82
S,69639,110,-10,93
S,69649,125,-9,103
S,69659,107,2,99
S,69669,88,-2,106
S,69679,84,-27,131
S,69689,73,-40,166
S,69699,39,-51,195
S,69709,-3,-44,245
S,69719,14,-32,232
S,69729,30,36,254
S,69739,26,62,262
S,69749,2,101,274
S,69759,-29,126,302
S,69769,-55,162,373
S,69779,-87,167,443
S,69789,-132,151,511
S,69799,-138,147,577
S,69809,-104,175,614
S,69819,-56,257,605
S,69829,-84,274,629
S,69839,-147,223,631
S,69849,-153,269,622
S,69859,-123,296,610
S,69869,-109,273,602
S,69879,-110,239,580
S,69889,-106,235,551
S,69899,-88,227,527
S,69909,-55,217,507
S,69919,-23,219,475
S,69929,-48,219,433
S,69939,-88,181,382
S,69949,-111,147,346
S,69959,-110,127,297
S,69969,-149,122,274
S,69979,-146,114,230
S,69989,-154,94,223
S,69999,-138,67,222
S,70009,-72,39,244
S,70019,-12,21,254
S,70029,-8,-4,212
S,70039,-59,-49,154
S,70049,-94,-78,125
S,70059,-83,-93,149
S,70069,-56,-79,156
S,70079,-36,-58,161
S,70089,-31,-83,145
S,70099,-10,-119,170
S,70109,50,-162,187
S,70119,83,-159,196
S,70129,60,-148,163
S,70139,42,-139,154
S,70149,55,-121,173
S,70159,69,-96,215
S,70169,72,-83,221
S,70179,62,-74,218
S,70189,48,-74,203
S,70199,38,-72,197
S,70209,35,-75,202
S,70219,29,-64,198
S,70229,19,-54,210
S,70239,13,-49,216
S,70249,12,-34,224
S,70259,20,-15,235
S,70269,28,2,245
S,70279,25,6,250
S,70289,20,12,247
M,70289,W,1,END
OK end
M,77328,W,2,START
OK start
S,77329,-2,70,278
S,77339,0,68,280
S,77349,3,75,269
S,77359,2,77,267
S,77369,9,86,268
S,77379,8,87,265
S,77389,7,72,267
S,77399,6,60,268
S,77409,10,45,271
S,77419,17,45,274
S,77429,23,44,275
S,77439,31,50,274
S,77449,39,49,270
S,77459,39,67,260
S,77469,27,65,257
S,77479,14,63,247
S,77489,7,50,244
S,77499,8,55,249
S,77509,6,60,249
S,77519,10,57,245
S,77529,13,53,239
S,77539,26,57,225
S,77549,29,48,220
S,77559,38,50,217
S,77569,40,61,205
S,77579,41,36,187
S,77589,36,39,174
S,77599,46,45,168
S,77609,59,46,164
S,77619,73,32,159
S,77629,73,43,166
S,77639,61,29,175
S,77649,53,2,162
S,77659,72,-3,171
S,77669,109,24,161
S,77679,143,59,159
S,77689,141,62,152
S,77699,130,34,155
S,77709,124,42,143
S,77719,112,44,136
S,77729,107,53,137
S,77739,74,39,158
S,77749,39,55,179
S,77759,38,72,211
S,77769,31,45,247
S,77779,13,48,246
S,77789,-21,65,267
S,77799,1,47,252
S,77809,-13,80,298
S,77819,-53,119,348
S,77829,-38,158,360
S,77839,-129,185,393
S,77849,-173,189,436
S,77859,-206,195,529
S,77869,-188,189,607
S,77879,-184,178,638
S,77889,-184,185,677
S,77899,-143,186,699
S,77909,-95,179,684
S,77919,-88,176,639
S,77929,-79,164,597
S,77939,-56,140,567
S,77949,-22,129,546
S,77959,-10,84,495
S,77969,-60,76,442
S,77979,-104,65,374
S,77989,-112,94,338
S,77999,-12,93,375
S,78009,115,85,366
S,78019,40,97,329
S,78029,-29,65,254
S,78039,-65,57,195
S,78049,-102,32,150
S,78059,-153,7,129
S,78069,-150,12,105
S,78079,-85,42,114
S,78089,54,6,208
S,78099,107,18,216
S,78109,75,-1,194
S,78119,32,-25,152
S,78129,-6,-29,98
S,78139,-50,-34,68
S,78149,-82,-65,65
S,78159,-99,-89,81
S,78169,20,-110,175
S,78179,123,-40,193
S,78189,117,-46,183
S,78199,79,-52,152
