ERR unknown command (type 'help')
OK mode=LOG
ERR unknown command (type 'help')
M,1273618,W,41,START
OK start
S,1273619,-73,19,242
S,1273629,-79,30,230
S,1273639,-75,32,234
S,1273649,-65,38,241
S,1273659,-58,38,260
S,1273669,-55,59,256
S,1273679,-61,52,258
S,1273689,-71,56,254
S,1273699,-81,46,253
S,1273709,-84,38,251
S,1273719,-79,39,253
S,1273729,-66,53,263
S,1273739,-56,64,266
S,1273749,-54,61,282
S,1273759,-56,62,282
S,1273769,-57,67,282
S,1273779,-63,68,285
S,1273789,-64,63,277
S,1273799,-72,55,276
S,1273809,-70,51,265
S,1273819,-66,60,256
S,1273829,-64,70,239
S,1273839,-63,70,237
S,1273849,-63,83,219
S,1273859,-59,89,208
S,1273869,-58,100,204
S,1273879,-57,88,189
S,1273889,-67,78,176
S,1273899,-70,60,160
S,1273909,-68,52,154
S,1273919,-56,56,146
S,1273929,-39,54,141
S,1273939,-28,45,143
S,1273949,-18,41,129
S,1273959,-10,52,126
S,1273969,2,49,127
S,1273979,13,44,121
S,1273989,16,59,136
S,1273999,43,78,144
S,1274009,55,76,143
S,1274019,54,58,143
S,1274029,54,35,160
S,1274039,67,12,177
S,1274049,77,19,172
S,1274059,81,24,165
S,1274069,71,16,180
S,1274079,43,18,177
S,1274089,30,16,190
S,1274099,19,37,198
S,1274109,-2,-7,237
S,1274119,-25,-3,241
S,1274129,-14,-11,242
S,1274139,39,-33,225
S,1274149,19,22,247
S,1274159,0,38,255
S,1274169,-41,64,253
S,1274179,-83,83,249
S,1274189,-143,52,268
S,1274199,-147,13,302
S,1274209,-115,0,355
S,1274219,-78,-122,427
S,1274229,-72,-21,466
S,1274239,-25,-29,478
S,1274249,-4,1,544
S,1274259,-25,56,562
S,1274269,-90,96,547
S,1274279,-167,99,547
S,1274289,-198,69,573
S,1274299,-189,56,614
S,1274309,-149,50,640
S,1274319,-115,26,659
S,1274329,-75,-7,661
S,1274343,-22,-19,666
S,1274349,12,4,648
S,1274359,-30,19,602
S,1274369,-62,18,517
S,1274379,-49,47,491
S,1274389,-38,48,471
S,1274399,-43,33,443
S,1274409,-49,27,397
S,1274419,-57,21,348
S,1274429,-67,8,308
S,1274439,-70,4,271
S,1274449,-57,-11,242
S,1274459,-10,7,218
S,1274469,3,26,173
S,1274479,-8,19,132
S,1274489,-8,7,115
S,1274499,2,0,97
S,1274509,11,-23,90
S,1274519,13,-47,80
S,1274529,23,-71,75
S,1274539,33,-50,57
S,1274549,42,-47,38
S,1274559,43,-49,34
S,1274569,35,-57,19
S,1274579,32,-51,12
S,1274589,30,-49,7
S,1274599,36,-43,6
S,1274609,40,-36,11
S,1274619,44,-19,17
S,1274629,46,10,14
S,1274639,47,18,19
S,1274649,51,20,26
S,1274659,66,14,49
S,1274669,75,8,72
S,1274679,85,4,104
S,1274689,83,2,120
S,1274699,67,-7,121
S,1274709,56,-25,127
S,1274719,56,-35,135
S,1274729,41,-54,150
S,1274739,22,-84,178
S,1274749,13,-78,207
S,1274759,9,-65,254
S,1274769,52,6,226
S,1274779,-9,-46,318
S,1274789,-95,6,286
S,1274799,-58,10,285
S,1274809,-70,0,331
S,1274819,-124,-79,373
S,1274829,-140,-89,416
S,1274839,-139,-42,477
S,1274849,-164,-56,542
S,1274859,-188,-61,612
S,1274869,-206,-37,681
S,1274879,-220,-31,715
S,1274889,-202,38,698
S,1274899,-146,137,700
S,1274909,-92,89,748
S,1274919,-86,48,717
S,1274929,-64,39,678
S,1274939,-49,37,624
S,1274949,-68,13,570
S,1274959,-84,6,499
S,1274969,-100,-3,446
S,1274979,-105,24,399
S,1274989,-106,47,378
S,1274999,-79,53,356
S,1275009,-69,60,335
S,1275019,-75,58,301
S,1275029,-91,44,266
S,1275039,-101,25,221
S,1275049,-99,-24,213
S,1275059,-108,-76,213
S,1275069,-109,-107,216
S,1275079,-85,-97,216
S,1275089,-37,-91,219
S,1275099,35,-72,242
S,1275109,68,-92,255
S,1275119,41,-94,237
S,1275129,17,-117,241
S,1275139,6,-90,180
S,1275149,-9,-94,144
S,1275159,-24,-88,127
S,1275169,-39,-93,133
S,1275179,-52,-95,125
S,1275189,-50,-87,118
S,1275199,1,-69,136
S,1275209,34,-56,150
S,1275219,25,-64,164
S,1275229,13,-82,178
S,1275239,1,-75,187
S,1275249,-19,-61,172
S,1275259,-36,-59,163
S,1275269,-49,-60,168
S,1275279,-47,-49,177
S,1275289,-40,-34,189
S,1275299,-35,-23,201
S,1275309,-44,-13,198
S,1275319,-63,-17,201
S,1275329,-73,-25,203
S,1275339,-74,-24,210
S,1275349,-73,-23,220
S,1275359,-66,-19,224
S,1275369,-68,-13,225
S,1275379,-72,-7,228
S,1275389,-81,-4,234
S,1275399,-87,-2,237
S,1275409,-97,-9,243
S,1275419,-103,-11,241
M,1275419,W,41,END
OK end
M,1279118,W,42,START
OK start
S,1279119,-21,63,255
S,1279129,-26,70,257
S,1279139,-34,75,247
S,1279149,-52,72,240
S,1279159,-68,58,242
S,1279169,-75,46,246
S,1279179,-74,29,252
S,1279189,-66,39,248
S,1279199,-60,56,233
S,1279209,-59,56,240
S,1279219,-51,55,247
S,1279229,-42,58,250
S,1279239,-43,52,246
S,1279249,-47,59,234
S,1279259,-50,61,236
S,1279269,-42,63,240
S,1279279,-31,63,241
S,1279289,-25,66,235
S,1279299,-19,69,216
S,1279309,-22,73,214
S,1279319,-21,81,191
S,1279329,-20,91,186
S,1279339,-20,93,175
S,1279349,-23,97,162
S,1279359,-28,82,146
S,1279369,-21,59,143
S,1279379,-6,51,134
S,1279389,7,51,146
S,1279399,27,42,158
S,1279409,39,23,161
S,1279419,49,24,150
S,1279429,59,9,145
S,1279439,60,9,134
S,1279449,55,18,125
S,1279459,57,29,135
S,1279469,54,43,137
S,1279479,25,44,158
S,1279489,2,31,164
S,1279499,3,12,182
S,1279509,28,1,211
S,1279519,37,-4,218
S,1279529,46,3,236
S,1279539,42,3,263
S,1279549,46,11,301
S,1279559,-4,14,316
S,1279569,-82,-18,313
S,1279579,-123,-19,312
S,1279589,-111,-29,350
S,1279599,-86,-32,387
S,1279609,-57,-14,421
S,1279619,-17,-11,464
S,1279629,-7,-6,489
S,1279639,-9,6,512
S,1279649,-35,67,516
S,1279659,-103,131,497
S,1279669,-200,132,486
S,1279679,-219,76,512
S,1279689,-196,71,541
S,1279699,-174,41,546
S,1279709,-141,10,563
S,1279719,-84,-13,578
S,1279729,-18,-43,584
S,1279739,32,-25,559
S,1279749,29,-3,507
S,1279759,-5,14,461
S,1279769,-23,23,428
S,1279779,-32,35,396
S,1279789,-46,38,373
S,1279799,-59,37,346
S,1279809,-74,25,313
S,1279819,-93,7,278
S,1279829,-85,-5,251
S,1279839,-42,0,253
S,1279849,-15,13,224
S,1279859,-23,5,196
S,1279869,-35,-3,166
S,1279879,-37,-6,146
S,1279889,-32,-27,138
S,1279899,-37,-48,136
S,1279909,-40,-69,114
S,1279919,-34,-72,104
S,1279929,-5,-68,104
S,1279939,20,-61,97
S,1279949,22,-65,97
S,1279959,21,-55,90
S,1279969,29,-44,89
S,1279979,40,-41,93
S,1279989,46,-47,106
S,1279999,47,-53,111
S,1280009,47,-40,111
S,1280019,46,-28,106
S,1280029,35,-20,101
S,1280039,36,-5,103
S,1280049,46,4,115
S,1280059,54,9,132
S,1280069,59,11,151
S,1280079,60,13,166
S,1280089,45,8,171
S,1280099,29,-5,177
S,1280109,2,-6,170
S,1280119,-24,-23,177
S,1280129,-35,-18,176
S,1280139,-28,-36,203
S,1280149,-16,-16,213
S,1280159,1,-30,252
S,1280169,-38,-31,269
S,1280179,-18,-18,263
S,1280189,-35,-14,275
S,1280199,-75,-8,281
S,1280209,-114,-10,292
S,1280219,-128,-3,311
S,1280229,-127,-4,329
S,1280239,-111,-14,363
S,1280249,-102,-12,384
S,1280259,-106,1,394
S,1280269,-119,-5,414
S,1280279,-138,-2,436
S,1280289,-161,1,449
S,1280299,-171,4,457
S,1280309,-177,14,469
S,1280319,-175,31,477
S,1280329,-163,49,469
S,1280339,-146,57,462
S,1280349,-125,59,452
S,1280359,-102,61,451
S,1280373,-87,45,446
S,1280379,-87,45,446
S,1280389,-88,35,437
S,1280399,-98,19,420
S,1280409,-107,-10,414
S,1280419,-105,-19,401
S,1280429,-99,-29,397
S,1280439,-105,-24,382
S,1280449,-111,-31,347
S,1280459,-94,-43,340
S,1280469,-35,-51,354
S,1280479,7,-51,344
S,1280489,-22,-49,312
S,1280499,-64,-56,269
S,1280509,-84,-60,252
S,1280519,-78,-56,265
S,1280529,-99,-57,224
S,1280539,-107,-64,198
S,1280549,-105,-46,167
S,1280559,-77,-60,169
S,1280569,-15,-73,206
S,1280579,25,-81,219
S,1280589,3,-81,209
S,1280599,-27,-82,185
S,1280609,-46,-72,191
S,1280619,-47,-62,188
S,1280629,-75,-59,183
S,1280639,-82,-56,152
S,1280649,-72,-51,136
S,1280659,-51,-74,156
S,1280669,-17,-87,193
S,1280679,4,-89,229
S,1280689,-1,-88,241
S,1280699,-14,-80,235
S,1280709,-24,-63,225
S,1280719,-35,-56,215
S,1280729,-54,-51,209
S,1280739,-67,-47,209
S,1280749,-76,-42,203
S,1280759,-82,-42,204
S,1280769,-92,-41,205
S,1280779,-87,-36,211
S,1280789,-86,-29,208
S,1280799,-81,-26,226
S,1280809,-71,-36,235
S,1280819,-77,-21,246
S,1280829,-79,-17,241
S,1280839,-86,-8,239
S,1280849,-94,-8,232
